PLAYER,SEASON,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Precious Achiuwa,2023,TOR,24,5,2,3,20.6,6.8,3,7.4,40.5,0.2,1.6,12.5,0.6,0.6,100,1.8,4.8,6.6,2,1.6,0.2,0.2,2,17.3,0,0,-5.2
Jae'Sean Tate,2023,HOU,28,9,6,3,20.3,6.8,2.6,5.1,50,1.1,2.6,43.5,0.6,0.8,71.4,0.9,2.9,3.8,1.2,0.2,1.6,0.4,2.6,18.9,0,0,2.8
Chris Boucher,2023,TOR,30,8,3,5,16.1,6.8,2.3,4.4,51.4,0.5,1.4,36.4,1.8,2,87.5,1.3,3.6,4.9,0.6,0.6,0.3,0.8,2.6,15.9,0,0,1.4
Keita Bates-Diop,2023,PHX,27,7,3,4,22.2,6.7,2.6,6,42.9,0.9,2.6,33.3,0.7,1.3,55.6,1.3,3,4.3,1.3,0.1,0.6,0.9,1,17.9,0,0,1.6
Day'Ron Sharpe,2023,BKN,22,10,5,5,13,6.7,2.6,4.5,57.8,0,0.2,0,1.5,2.3,65.2,2.3,4,6.3,0.5,1.3,0.4,0.5,1.8,16.4,1,0,3.9
Dwight Powell,2023,DAL,32,9,7,2,17.8,6.7,1.9,2.4,77.3,0.1,0.1,100,2.8,3.7,75.8,2,2.1,4.1,1.4,0.2,0.4,0.8,2,17.2,0,0,1.4
Mitchell Robinson,2023,NYK,25,10,5,5,29.6,6.6,2.8,5.2,53.8,0,0,0,1,2.5,40,5.8,5.6,11.4,0.5,0.4,1.4,1,2.2,27.8,1,0,2.6
Ben Simmons,2023,BKN,27,6,3,3,31.8,6.5,3.2,6,52.8,0,0,0,0.2,0.7,25,2.7,8.2,10.8,6.7,2.5,0.5,0.8,2.7,31,2,0,-5.5
Dru Smith,2023,MIA,25,6,4,2,20.6,6.5,2.5,5.3,46.9,1.2,2.7,43.8,0.3,0.3,100,1,1.2,2.2,2.3,0.8,1.3,0.5,1.5,17.3,0,0,-5.5
Nikola Jovic,2023,MIA,20,2,0,2,14.2,6.5,2,4,50,1.5,2.5,60,1,1,100,0,7.5,7.5,2,1,0.5,0,1,19,0,0,7.5
Gary Payton II,2023,GSW,30,10,6,4,18.3,6.4,2.6,5.5,47.3,0.8,2.2,36.4,0.4,0.6,66.7,1.2,2,3.2,1,0.6,1.3,0.2,1.7,15.6,0,0,4.4
Isaiah Hartenstein,2023,NYK,25,10,5,5,16.8,6.4,2.6,4.3,60.5,0.1,0.3,33.3,1.1,1.8,61.1,2.4,2,4.4,1.1,0.9,1.2,0.4,2.9,17.2,0,0,1.3
Andre Drummond,2023,CHI,30,11,4,7,13.5,6.4,2.8,5,56.4,0,0,0,0.7,1.4,53.3,2.5,2.9,5.4,0.7,1,1.4,0.2,1.4,17.5,1,0,1.2
Matisse Thybulle,2023,POR,26,9,3,6,19.5,6.3,2.2,4.7,47.6,1.4,3.8,38.2,0.4,0.6,80,0.2,1,1.2,1,0.6,1,0.8,1.1,14.1,0,0,-6.7
Tari Eason,2023,HOU,22,3,3,0,16.4,6.3,2.7,7.3,36.4,1,2.3,42.9,0,0,0,2,4.7,6.7,1.3,0.7,0.3,1,1.7,19.7,0,0,5
Anthony Black,2023,ORL,19,7,4,3,19,6.3,2.4,3.7,65.4,0.7,1.4,50,0.7,1,71.4,0.9,1.3,2.1,1.6,0.6,0.6,0.4,1.7,13.6,0,0,5.3
Amen Thompson,2023,HOU,20,4,1,3,16.7,6.3,2.3,5.5,40.9,0.5,2.8,18.2,1.3,2,62.5,0.3,2.5,2.8,1.5,1.5,0.5,0.3,2.3,12.6,0,0,-5.3
Cameron Payne,2023,MIL,29,10,6,4,18.1,6.2,2.3,4.6,50,1.2,2.4,50,0.4,0.4,100,0.1,0.9,1,2.1,1,0.5,0.1,2.3,11.4,0,0,0.7
Davion Mitchell,2023,SAC,25,8,4,4,21,6.1,2.4,6.4,37.3,1.3,3.8,33.3,0.1,0.1,100,0.1,1.5,1.6,2.8,1,0.5,0.3,2.4,13.5,0,0,-7.9
Patrick Williams,2023,CHI,22,11,4,7,23,6.1,2.1,6.3,33.3,0.9,3.2,28.6,1,1.3,78.6,0.5,2.5,3.1,1.3,1,1.1,0.8,1.6,16.4,0,0,0.5
Gabe Vincent,2023,LAL,27,4,2,2,28.4,6,2.8,7,39.3,0.3,3.5,7.1,0.3,0.5,50,0.5,0.5,1,3,0.5,1.5,0,2.5,15.7,0,0,2.5
Jamaree Bouyea,2023,POR,24,1,0,1,12.4,6,3,6,50,0,1,0,0,0,0,1,3,4,3,1,0,0,0,14.3,0,0,-3
Terance Mann,2023,LAC,27,3,0,3,25.2,6,2.7,5.7,47.1,0.7,2.7,25,0,0,0,1.3,3,4.3,2.3,1,0,0,2.3,13.7,0,0,0.3
Ayo Dosunmu,2023,CHI,23,9,4,5,14.9,5.9,2.3,4.3,53.8,0.9,1.9,47.1,0.3,0.4,75,0.6,0.9,1.4,1.1,0.4,0.6,0.1,1.1,10.8,0,0,2.3
Dennis Smith Jr.,2023,BKN,25,9,4,5,16.8,5.9,2.2,5.6,40,0.7,1.8,37.5,0.8,0.9,87.5,0.8,1.4,2.2,2.8,1.1,0.6,0.2,2.2,13.9,0,0,-1.1
Kevon Looney,2023,GSW,27,11,6,5,23.2,5.8,2.5,3.9,65.1,0,0,0,0.7,0.9,80,2.9,5.9,8.8,2.8,1.1,0.8,0.5,3,23.4,0,0,-0.9
Yuta Watanabe,2023,PHX,29,10,4,6,19.1,5.8,1.9,4.6,41.3,1.4,3.7,37.8,0.6,0.7,85.7,0.6,2.2,2.8,0.5,1,0.4,0.3,1.9,11,0,0,-0.6
Theo Maledon,2023,CHA,22,9,3,6,18.3,5.8,2.1,6.6,32.2,0.6,3,18.5,1,1.1,90,0.4,1.8,2.2,2.2,1.3,0.8,0,1.8,12.8,0,0,-5.4
Armoni Brooks,2023,BKN,25,3,1,2,12.1,5.7,2,4,50,1.7,3,55.6,0,0,0,0.3,1.7,2,0,0.3,0,0,0,7.7,0,0,12
Goga Bitadze,2023,ORL,24,7,3,4,14.4,5.6,2,3.6,56,0,0.3,0,1.6,2.1,73.3,2.1,2.7,4.9,1,0.6,0.7,1.1,1.4,17.9,1,0,7.3
Jonathan Isaac,2023,ORL,26,7,5,2,12.8,5.6,1.7,5.1,33.3,0.7,2.9,25,1.4,1.9,76.9,0.9,2.6,3.4,0.3,0.4,0.7,1.4,1.7,16.1,0,0,2
Sasha Vezenkov,2023,SAC,28,7,3,4,13.5,5.6,2.1,5.3,40.5,1.1,3.6,32,0.1,0.1,100,0.1,1.9,2,0.3,0.1,0.6,0.3,1.3,10.8,0,0,-0.1
Georges Niang,2023,CLE,30,9,4,5,22.4,5.6,2,6.8,29.5,1.1,4.6,24.4,0.4,0.4,100,0.4,3.7,4.1,1,0.6,0.1,0.1,2.8,12.1,0,0,-4.6
Thomas Bryant,2023,MIA,26,9,5,4,13.5,5.6,2.2,4.1,54.1,0,0.2,0,1.1,1.4,76.9,1.1,2.9,4,0.7,1.1,0.4,0.3,1.3,12.6,0,0,-3.9
Eugene Omoruyi,2023,WAS,26,6,1,5,8,5.5,2.2,3.2,68.4,0.3,0.8,40,0.8,1.3,62.5,0.7,1.8,2.5,1,1,0.5,0.2,1,11,0,0,3.8
Malachi Flynn,2023,TOR,25,10,5,5,15.3,5.5,1.9,4.1,46.3,1.1,2.4,45.8,0.6,0.7,85.7,0.3,1.4,1.7,1.9,1.2,0.9,0,1.4,11.9,0,0,-4.5
Orlando Robinson,2023,MIA,23,2,0,2,14.8,5.5,2,4.5,44.4,0.5,0.5,100,1,1,100,1,3,4,3.5,1.5,0.5,0.5,2,17.1,0,0,3
Johnny Davis,2023,WAS,21,5,1,4,11.2,5.4,2.4,4.6,52.2,0.2,0.4,50,0.4,0.6,66.7,0.6,0.8,1.4,0.2,0.4,0.8,0.2,1,10,0,0,2
Keon Ellis,2023,SAC,23,5,3,2,13.8,5.4,1.6,3.8,42.1,1,3.2,31.3,1.2,2.2,54.5,0.4,1.6,2,0.6,0.6,1,0.6,1.2,12.9,0,0,1.6
Pat Connaughton,2023,MIL,30,10,6,4,22,5.4,1.9,4.8,39.6,0.8,2.9,27.6,0.8,1,80,0.5,2.3,2.8,2.3,0.6,0.5,0.2,1.3,13.7,0,0,-1.9
Jordan Nwora,2023,IND,25,3,2,1,12,5.3,2,6,33.3,0.7,2.7,25,0.7,1,66.7,0.3,1.7,2,1.3,1.7,0,0.3,0.7,9.1,0,0,-4.3
Toumani Camara,2023,POR,23,9,3,6,24.5,5.3,1.9,5.6,34,0.6,2.1,26.3,1,1.3,75,2.1,2.6,4.7,1.3,1,0.8,0.7,2.4,16.3,0,0,2.8
Isaiah Jackson,2023,IND,21,4,3,1,14,5.3,2.3,3.5,64.3,0,0,0,0.8,1.3,60,1,2.3,3.3,0.5,0.3,0.3,2,2.8,16.4,0,0,-3.8
Jabari Walker,2023,POR,21,9,3,6,13.8,5.2,1.9,4.4,42.5,0.2,1.4,15.4,1.2,1.4,84.6,1,2.6,3.6,0.4,0.8,0.9,0.6,2.2,13.7,0,0,0.6
Aaron Holiday,2023,HOU,27,7,6,1,15.7,5.1,2,4.9,41.2,0.7,2.1,33.3,0.4,0.4,100,0.1,1.4,1.6,1.3,0.6,0.3,0,1,9.2,0,0,4.7
Nicolas Batum,2023,PHI,34,7,6,1,22.5,5.1,1.9,3.3,56.5,1.4,2.9,50,0,0,0,0.7,2.6,3.3,1.3,0.3,0.9,1.1,2,16.7,0,0,7.3
Julian Strawther,2023,DEN,21,8,6,2,9.9,5.1,2,4.5,44.4,1.1,3.1,36,0,0.3,0,0,0.9,0.9,0.5,0.1,0.1,0.3,0.9,7.9,0,0,-3.4
Simone Fontecchio,2023,UTA,27,8,2,6,10,5.1,2,4,50,1.1,2.6,42.9,0,0,0,0.8,1.3,2,0.5,1,0.3,0.3,0.8,8.8,0,0,-1.9
Admiral Schofield,2023,ORL,26,1,1,0,3.1,5,2,4,50,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3
Cole Swider,2023,MIA,24,1,0,1,2,5,2,3,66.7,1,2,50,0,0,0,0,1,1,0,0,0,0,0,6.2,0,0,7
Delon Wright,2023,WAS,31,8,2,6,17.7,5,1.4,3.8,36.7,0.5,1.4,36.4,1.8,2,87.5,0.4,2.1,2.5,4.4,0.5,1.6,0.1,0.8,19.3,0,0,1.1
Lester Quinones,2023,GSW,22,1,1,0,4.7,5,2,3,66.7,1,2,50,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0
Mason Plumlee,2023,LAC,33,6,3,3,17,5,2,3.2,63.2,0,0,0,1,2.3,42.9,1.3,4.2,5.5,1,0.8,0.7,0.2,1,14.8,0,0,-2.3
Ryan Rollins,2023,WAS,21,6,1,5,7.6,5,1.3,2.8,47.1,0.2,0.3,50,2.2,2.7,81.3,0.3,1.3,1.7,1.7,1.2,1.3,0.3,1,13.3,0,0,7.3
Peyton Watson,2023,DEN,21,10,8,2,14.8,4.9,2.1,3.9,53.8,0.4,1.3,30.8,0.3,0.6,50,0.3,1.6,1.9,0.7,0.6,0.6,1.1,1.3,12.7,0,0,-1.9
Al Horford,2023,BOS,37,9,7,2,23.9,4.9,2,5.2,38.3,0.7,2.9,23.1,0.2,0.2,100,1.9,4.1,6,2.1,1.2,0.6,0.6,1.6,17.4,0,0,4.1
Torrey Craig,2023,CHI,32,11,4,7,22.6,4.8,1.9,5,38.2,0.8,2.4,34.6,0.2,0.2,100,2.1,3.6,5.7,1.5,0.4,0.7,0.4,2.8,16.9,0,0,-3.6
Shake Milton,2023,MIN,27,9,7,2,14.9,4.8,1.6,4.2,36.8,0.7,2,33.3,1,1.4,69.2,0.2,1.4,1.7,1.1,1.2,0.8,0.1,1.4,9.9,0,0,1
Payton Pritchard,2023,BOS,25,10,8,2,20.5,4.7,1.7,5.2,32.7,0.7,3.1,22.6,0.6,0.7,85.7,1.4,2,3.4,3.6,0.7,0.2,0,1.7,14.1,0,0,5.9
Nickeil Alexander-Walker,2023,MIN,25,9,7,2,19,4.7,1.8,4.7,38.1,0.9,2.7,33.3,0.2,0.7,33.3,0.1,2.1,2.2,2.8,0.9,0.9,0.8,1.6,15.6,0,0,-0.4
Chris Duarte,2023,SAC,26,8,4,4,14.8,4.6,1.4,4.5,30.6,0.9,2.9,30.4,1,1.4,72.7,0.1,1.4,1.5,1.1,0.5,0.6,0.1,3,9.9,0,0,-2
Nate Williams,2023,HOU,24,2,1,1,6.3,4.5,2,3.5,57.1,0,1,0,0.5,1,50,0,0,0,0.5,0,0.5,0,0,6.8,0,0,-2
Jaylin Williams,2023,OKC,21,5,3,2,13.8,4.4,1.4,3.2,43.8,0.6,2.2,27.3,1,1.2,83.3,0.4,3.2,3.6,1.4,0.6,0.4,0.4,2.2,12.6,0,0,-0.8
Ochai Agbaji,2023,UTA,23,10,3,7,16.3,4.4,1.7,4.1,41.5,1,2.7,37,0,0.2,0,0.5,1.7,2.2,1,0.7,0.2,0.6,1.3,10.2,0,0,-3.2
Ben Sheppard,2023,IND,22,3,2,1,10.8,4.3,1.7,4,41.7,1,2.7,37.5,0,0,0,0.3,1,1.3,0.7,0,0,0,1.3,6.9,0,0,-1
JT Thor,2023,CHA,21,9,3,6,19,4.3,1.8,4.4,40,0.8,2.3,33.3,0,0.4,0,1,2.8,3.8,0.9,0.3,0.4,0.4,1.4,12.5,0,0,-1.4
Paul Reed,2023,PHI,24,9,8,1,13.3,4.3,2.1,3.7,57.6,0,0.3,0,0.1,0.2,50,1.7,3.2,4.9,1,0.8,0.4,0.3,2.3,13.3,0,0,4.9
Jacob Gilyard,2023,MEM,25,7,2,5,16.7,4.1,1.4,3.1,45.5,1.3,2.9,45,0,0,0,0.4,1.3,1.7,3.7,0.6,0.7,0.1,1,13.8,0,0,2.4
Kris Dunn,2023,UTA,29,8,2,6,12.7,4.1,1.6,4,40.6,0.4,1,37.5,0.5,0.8,66.7,0.4,1.9,2.3,2.5,1.3,0.6,0,1.6,11.2,0,0,-0.1
James Wiseman,2023,DET,22,4,0,4,9.5,4,2,4,50,0,0.3,0,0,0,0,1,1.8,2.8,0.3,0.8,0.3,0.5,2,9.2,0,0,-4
Moses Brown,2023,POR,24,1,0,1,5.5,4,2,3,66.7,0,0,0,0,2,0,2,1,3,1,0,0,1,1,12.1,0,0,-8
Otto Porter Jr.,2023,TOR,30,5,4,1,15.7,4,1.4,3.8,36.8,1,2.6,38.5,0.2,0.2,100,0.8,2.2,3,0.2,0,0.6,0.6,1.4,11.5,0,0,1.4
Tre Mann,2023,OKC,22,3,2,1,4,4,1.7,2.3,71.4,0.3,0.7,50,0.3,0.3,100,0.3,1,1.3,0.7,0.3,0,0,0,6.3,0,0,-4.3
Vince Williams Jr.,2023,MEM,23,3,0,3,8.9,4,0.7,2.3,28.6,0.3,2,16.7,2.3,2.7,87.5,0,1.3,1.3,1.3,0.7,0.3,1,1.3,10.9,0,0,8
Aaron Wiggins,2023,OKC,24,8,5,3,11.4,3.9,1.6,3.3,50,0.3,1.1,22.2,0.4,0.5,75,0.3,1.3,1.5,0.5,0.5,0.3,0.1,1.1,7.1,0,0,2.1
Dean Wade,2023,CLE,26,8,3,5,17.7,3.9,1.3,3.4,37,1.1,3.1,36,0.3,0.5,50,0.8,3.1,3.9,0.5,0.5,0.8,0.3,2.5,11.8,0,0,-0.1
Colby Jones,2023,SAC,21,5,1,4,10,3.8,1.6,3.4,47.1,0.2,0.8,25,0.4,0.4,100,1,1.4,2.4,0.4,0.6,0.2,0.2,1,7.9,0,0,-0.2
Larry Nance Jr.,2023,NOP,30,10,4,6,15.7,3.8,1.6,3.3,48.5,0.3,0.9,33.3,0.3,0.6,50,1.3,3.1,4.4,0.8,0.9,0.5,0.1,1.4,11.2,0,0,-3.6
Nassir Little,2023,PHX,23,5,2,3,11.7,3.8,1.2,2.8,42.9,0.6,2,30,0.8,0.8,100,0.2,1.2,1.4,0.2,0.4,1,0.2,1.6,9,0,0,-1.2
Craig Porter,2023,CLE,23,4,2,2,9.7,3.8,1.5,3.3,46.2,0,0.3,0,0.8,2,37.5,0.3,1,1.3,0.8,0.8,0.8,0.3,1.5,8.6,0,0,-6
Gradey Dick,2023,TOR,19,10,5,5,15.1,3.7,1.3,4.1,31.7,0.7,2.6,26.9,0.4,0.4,100,0.7,1.1,1.8,1,0.8,0.2,0,1.6,7.2,0,0,-3.5
Kira Lewis Jr.,2023,NOP,22,9,4,5,12.5,3.7,1.3,4.3,30.8,0.1,1.4,7.7,0.9,1,88.9,0.3,0.8,1.1,1.8,0.6,0.4,0.1,0.8,8.8,0,0,0.1
Trayce Jackson-Davis,2023,GSW,23,8,4,4,7.7,3.6,1.3,2.1,58.8,0,0,0,1.1,2,56.3,1.1,1,2.1,0.4,0.3,0.1,0.6,1.5,8.7,0,0,5.1
Anthony Gill,2023,WAS,31,5,1,4,7.1,3.6,1.2,2.6,46.2,0,0.2,0,1.2,1.6,75,0.6,0.8,1.4,0.6,0.4,0.2,0.6,0.6,8.2,0,0,9.2
Charles Bassey,2023,SAS,23,10,3,7,11.6,3.6,1.7,2.2,77.3,0,0.1,0,0.2,0.3,66.7,1.3,2.4,3.7,1,0.6,0.8,0.6,1.5,13.1,0,0,-3.5
Ousmane Dieng,2023,OKC,20,10,6,4,11.3,3.6,1.3,3.4,38.2,0.7,2.5,28,0.3,0.4,75,0.5,1.5,2,0.9,0.4,0.1,0,0.6,7.3,0,0,-2.8
John Konchar,2023,MEM,27,7,1,6,18,3.6,1.4,3.3,43.5,0.7,1.9,38.5,0,0,0,1,3.3,4.3,1.1,0.3,0.7,0.7,0.9,14.4,0,0,-1.9
Dereon Seabron,2023,NOP,23,4,1,3,12.6,3.5,1,3.3,30.8,0.3,0.5,50,1.3,1.5,83.3,0.3,1.5,1.8,1,0,0.3,0.3,1,8.6,0,0,6.8
Luka Garza,2023,MIN,24,2,1,1,3,3.5,1.5,2.5,60,0,0,0,0.5,1,50,0.5,1,1.5,0,0,0,0,1.5,5.3,0,0,-1
Moussa Diabate,2023,LAC,21,6,3,3,7.5,3.5,1.3,2.3,57.1,0,0,0,0.8,1,83.3,1.7,0.8,2.5,0.7,0.3,0.3,0,0.7,8.2,0,0,-0.7
Dante Exum,2023,DAL,28,9,7,2,7.9,3.4,1.4,3.1,46.4,0.3,0.7,50,0.2,0.4,50,0.3,1.4,1.8,1,0.1,0.3,0.2,0.9,8.6,0,0,2.3
Joe Harris,2023,DET,32,7,2,5,14,3.4,1.3,3.6,36,0.9,2.7,31.6,0,0,0,0.3,0.7,1,0.9,0.4,0.3,0,1.7,6.3,0,0,-2.1
Jake LaRavia,2023,MEM,22,5,0,5,12.2,3.4,1.4,4,35,0.4,2.4,16.7,0.2,0.4,50,0.6,1,1.6,0.4,0.4,0.2,0,1.6,6.1,0,0,-4.4
Maxi Kleber,2023,DAL,31,5,4,1,18.1,3.4,0.8,3.2,25,0.6,1.8,33.3,1.2,2,60,0.8,3.4,4.2,2,0.8,0.2,0.2,1.6,11.8,0,0,-0.6
Luke Kornet,2023,BOS,28,8,6,2,10.6,3.4,1.4,1.9,73.3,0,0,0,0.6,0.8,83.3,1.1,2.1,3.3,0.6,0.1,0.4,0.3,1,10,0,0,0.5
Stanley Umude,2023,DET,24,8,1,7,7.7,3.4,0.9,2,43.8,0.6,1.3,50,1,1.1,88.9,0,1.1,1.1,0.1,0.4,0.1,0.1,1.3,5.3,0,0,-1.8
Boban Marjanovic,2023,HOU,35,3,2,1,6.7,3.3,1.7,3,55.6,0,0.3,0,0,0.3,0,0.7,2,2.7,1,0,0,0.3,0.7,9,0,0,-1.7
Brandin Podziemski,2023,GSW,20,6,2,4,8.7,3.3,1.3,2.8,47.1,0.3,0.7,50,0.3,0.5,66.7,0.8,1.8,2.7,1.3,0.8,0.3,0,1.2,8.7,0,0,6.7
Collin Gillespie,2023,DEN,24,6,5,1,11.8,3.3,1.3,3,44.4,0.5,1.8,27.3,0.2,0.2,100,0,0.5,0.5,1.2,0.3,0.8,0,1.5,7.9,0,0,0.7
Jarace Walker,2023,IND,20,3,2,1,8.8,3.3,1.3,4,33.3,0,0.7,0,0.7,0.7,100,0.3,2,2.3,1.7,0,0.3,0.3,0.7,10.6,0,0,-1.3
Vasilije Micic,2023,OKC,29,3,1,2,10.8,3.3,1.3,3,44.4,0.7,1.7,40,0,0,0,0,0.3,0.3,2.3,1.3,0,0,0.7,5.9,0,0,-3
Zeke Nnaji,2023,DEN,22,10,8,2,10.8,3.3,1.3,2.6,50,0.1,0.5,20,0.6,1,60,0.8,1.6,2.4,0.5,0.4,0.2,0.5,1.1,8.6,0,0,-3.6
Dalano Banton,2023,BOS,24,4,4,0,6.9,3.3,1.3,2.3,55.6,0,0.5,0,0.8,0.8,100,0.8,0.8,1.5,0.5,0.3,0.3,0,0.8,6.3,0,0,-5.5
Luka Samanic,2023,UTA,23,4,0,4,4.1,3.3,1.3,2.5,50,0.5,1.3,40,0.3,0.3,100,0,1,1,0.3,0,0.3,0,0.3,5.6,0,0,1.5
AJ Griffin,2023,ATL,20,6,4,2,9.2,3.2,1.2,2.3,50,0.8,1.8,45.5,0,0,0,0.2,0.7,0.8,0.3,0.7,0.2,0,0.3,4.5,0,0,-7
Kenneth Lofton Jr.,2023,MEM,21,6,1,5,9,3.2,1.2,2.7,43.8,0.3,0.7,50,0.5,1.7,30,0.3,1.2,1.5,1.2,0.5,0.3,0.3,1.8,8.2,0,0,3.8
Max Christie,2023,LAL,20,6,2,4,17,3.2,1.2,4.3,26.9,0.2,1.7,10,0.7,0.8,80,0.3,3,3.3,0.7,0.7,0.3,0.2,1.5,9,0,0,-7.8
Robert Covington,2023,PHI,32,9,8,1,15.3,3.1,1,2.9,34.6,0.6,2.1,26.3,0.6,0.7,83.3,0.8,1.4,2.2,1,0.2,1.9,0.4,1.7,14.1,0,0,6.6
AJ Green,2023,MIL,24,4,1,3,9,3,1,2.5,40,0.8,2,37.5,0.3,0.3,100,0,1,1,1.5,0,0,0,1,6.5,0,0,7.3
Caleb Houstan,2023,ORL,20,4,2,2,6.3,3,1,2.3,44.4,0.8,2,37.5,0.3,0.3,100,0,0.8,0.8,0.3,0,0,0,0.3,4.3,0,0,2.3
Davis Bertans,2023,OKC,31,3,3,0,8.5,3,0.3,1.7,20,0.3,1.7,20,2,2,100,0,0.3,0.3,0.3,0,0.3,0,1,4.9,0,0,2.3
Emoni Bates,2023,CLE,19,3,1,2,10.1,3,1,3,33.3,0.7,2,33.3,0.3,0.7,50,0.3,1.7,2,0.3,0.3,0,0.3,0.3,6.6,0,0,-10
Lamar Stevens,2023,BOS,26,3,2,1,5.6,3,1.3,2.3,57.1,0.3,0.3,100,0,0,0,1.3,0.3,1.7,0.7,1,0.3,0,1,6,0,0,-1
Mike Muscala,2023,WAS,32,6,1,5,10.7,3,1,2.7,37.5,0.3,1.3,25,0.7,0.7,100,0.3,1.8,2.2,0.7,1,0.2,0.2,1.2,6.6,0,0,-7.8
Nate Hinton,2023,HOU,24,2,2,0,3.9,3,1,2,50,1,1,100,0,0,0,0,0,0,0,0,0,0,0.5,3,0,0,-5.5
TyTy Washington Jr.,2023,MIL,21,1,0,1,3.2,3,1,2,50,1,1,100,0,0,0,0,0,0,0,1,0,0,0,2,0,0,10
Furkan Korkmaz,2023,PHI,26,7,7,0,9.4,2.9,1,2.3,43.8,0.4,0.9,50,0.4,0.7,60,0.1,0.7,0.9,0.4,0.7,0.7,0,0.4,6,0,0,0.9
Kobe Brown,2023,LAC,23,6,3,3,8.7,2.8,1.2,2.3,50,0.5,1.3,37.5,0,0,0,0.3,1,1.3,0.3,0.2,0.2,0.2,1.3,5.8,0,0,2.3
Danuel House Jr.,2023,PHI,30,4,4,0,11.2,2.8,1,2,50,0.3,1,25,0.5,0.8,66.7,0.3,1,1.3,0.5,1,0.3,0.3,0.3,5.5,0,0,2.5
Jamal Cain,2023,MIA,24,3,1,2,9.9,2.7,1.3,3,44.4,0,1.3,0,0,0,0,1,1,2,0,0.3,1,0,0.7,7.7,0,0,-9.3
Nick Smith Jr.,2023,CHA,19,3,1,2,4.2,2.7,1,2.7,37.5,0.7,1.7,40,0,0,0,0,0.3,0.3,0.7,0.3,0.3,0,0,4.7,0,0,3.3
Omer Yurtseven,2023,UTA,25,6,1,5,5.2,2.7,1.2,1.7,70,0.2,0.5,33.3,0.2,0.3,50,0.5,1.3,1.8,0.5,0.2,0,0.2,1,6,0,0,1.8
Alex Len,2023,SAC,30,5,3,2,7.1,2.6,1,1.2,83.3,0,0.2,0,0.6,1.4,42.9,1.4,1.8,3.2,0.4,0.4,0.2,1,0.4,10.2,0,0,3.2
Jared Rhoden,2023,DET,24,5,0,5,5.9,2.6,1,1.8,55.6,0.2,0.8,25,0.4,0.4,100,0.2,0.6,0.8,0.6,0.4,0,0,0.8,4.1,0,0,3.2
Tristan Thompson,2023,CLE,32,7,3,4,9.8,2.6,1,1.4,70,0,0,0,0.6,1,57.1,1.1,1.7,2.9,0.7,0.9,0.1,0.4,1.1,7.9,0,0,-2.6
Joe Ingles,2023,ORL,36,9,5,4,18.8,2.6,0.8,3.4,22.6,0.6,2.3,23.8,0.4,0.6,80,0.6,2,2.6,3,0.8,0.9,0.1,1.4,12.3,0,0,5.2
Chris Livingston,2023,MIL,20,2,0,2,4.7,2.5,1,1,100,0.5,0.5,100,0,0,0,0,0,0,0.5,0,0,0,0,3.3,0,0,1
Jalen Pickett,2023,DEN,24,4,3,1,2.3,2.5,1,1.3,80,0.5,0.8,66.7,0,0,0,0,0.5,0.5,0,0,0,0,0.3,3.1,0,0,0.5
Jordan Miller,2023,LAC,23,2,2,0,3.4,2.5,1,1.5,66.7,0.5,0.5,100,0,0,0,0,0,0,0,0,0,0,1,2.5,0,0,-2.5
Leaky Black,2023,CHA,24,2,0,2,4.9,2.5,1,1.5,66.7,0.5,0.5,100,0,0,0,0,1,1,0.5,0,0,1,0.5,7.5,0,0,8.5
Blake Wesley,2023,SAS,20,3,0,3,5.9,2.3,1,2.7,37.5,0,0.3,0,0.3,0.7,50,0.3,0.3,0.7,1,0.3,0,0.3,0.7,5.3,0,0,-4.7
Cam Whitmore,2023,HOU,19,3,2,1,7.7,2.3,1,3,33.3,0,1,0,0.3,0.7,50,0,1,1,0.3,0.7,0.3,0,0.3,4.4,0,0,-8
Jordan Ford,2023,SAC,25,3,1,2,3.7,2.3,0.7,1.3,50,0.3,0.3,100,0.7,0.7,100,0,0.3,0.3,0.3,0,0,0,0,3.2,0,0,2.3
Patrick Beverley,2023,PHI,35,9,8,1,15.6,2.3,1,2.6,39.1,0.2,1.2,18.2,0.1,0.1,100,1.2,2,3.2,2.1,0.6,0.6,0.6,1.8,12.1,0,0,6.4
Oshae Brissett,2023,BOS,25,6,6,0,11.1,2.2,0.5,2.8,17.6,0.2,1.5,11.1,1,1.3,75,1,1.3,2.3,0.3,0.3,0.7,0,0.8,7.1,0,0,-1.3
Amari Bailey,2023,CHA,19,1,0,1,3.3,2,1,3,33.3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4.4,0,0,7
Caleb Martin,2023,MIA,28,1,1,0,19.5,2,1,7,14.3,0,3,0,0,0,0,1,2,3,1,0,1,0,1,10.1,0,0,-5
Colin Castleton,2023,LAL,23,2,0,2,9.3,2,1,2,50,0,0,0,0,0,0,1,0.5,1.5,1,0,0,0,2.5,5.3,0,0,-5.5
Daniel Theis,2023,IND,31,1,1,0,8.4,2,1,4,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
