PLAYER,SEASON,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Herbert Jones,2023,NOP,25,7,4,3,31.1,10,3.4,7.3,47.1,0.9,3.3,26.1,2.3,2.6,88.9,0.6,3.3,3.9,1.7,1.3,1.6,1.6,3.4,25.3,0,0,-6.1
Reggie Jackson,2023,DEN,33,10,8,2,23.5,10,4,9.1,44,1.5,4.1,36.6,0.5,0.9,55.6,0.1,1.7,1.8,3.6,1.1,0.9,0.2,1.5,19.8,0,0,6.9
Talen Horton-Tucker,2023,UTA,22,10,3,7,23.4,10,4,10,40,1.3,3.7,35.1,0.7,0.9,77.8,0.6,2.6,3.2,5.2,2.3,1,0.6,2.1,24.1,0,0,-1.7
Clint Capela,2023,ATL,29,9,5,4,24.8,9.9,4.1,7.2,56.9,0,0,0,1.7,2.4,68.2,4,6.7,10.7,0.9,0.6,0.6,1.4,1.9,29.5,4,0,3.1
Draymond Green,2023,GSW,33,8,5,3,24.8,9.9,3.4,7,48.2,1.1,2.5,45,2,2.3,88.9,1.6,3.9,5.5,6.4,1.9,0.8,0.6,2.6,28.3,0,0,-2
Kentavious Caldwell-Pope,2023,DEN,30,10,8,2,33.3,9.7,3.5,7.4,47.3,1.6,3.7,43.2,1.1,1.1,100,0.2,1.7,1.9,1.7,1.2,1.8,0.5,2.5,20.2,0,0,11.4
Brook Lopez,2023,MIL,35,10,6,4,26.3,9.6,3.5,8.6,40.7,1.8,5.1,35.3,0.8,1.2,66.7,1.1,3.1,4.2,0.7,1.1,0.8,2.2,2.2,23.6,0,0,-8.4
Matt Ryan,2023,NOP,26,10,4,6,23.3,9.6,3,6.4,46.9,2.4,5.4,44.4,1.2,1.2,100,0.5,2,2.5,1.3,1.3,0.3,0.1,2.3,14.5,0,0,0.2
Sam Hauser,2023,BOS,25,10,8,2,19.5,9.6,3.2,6.4,50,2.8,5.9,47.5,0.4,0.4,100,0.5,2.8,3.3,0.4,0.4,0.6,0.4,1.7,16.8,0,0,1.3
Onyeka Okongwu,2023,ATL,22,9,5,4,22.6,9.6,3.3,5.6,60,0.2,0.9,25,2.7,2.9,92.3,2.8,3.9,6.7,1.6,0.7,0.7,1,2.9,24.2,1,0,0.2
Isaac Okoro,2023,CLE,22,6,2,4,28.8,9.5,3.5,7.2,48.8,1,2.5,40,1.5,2.2,69.2,2,3,5,2.2,1,1.2,0.5,3.8,22.8,0,0,-5.5
Obi Toppin,2023,IND,25,10,6,4,21.3,9.5,3.8,6.6,57.6,0.7,2.3,30.4,1.2,1.3,92.3,0.9,2.1,3,0.5,0.5,0.9,0.2,1.8,16.7,0,0,-1.8
Taurean Prince,2023,LAL,29,8,4,4,30.4,9.5,3.6,8.3,43.9,1.4,4.4,31.4,0.9,1.1,77.8,0.1,1.6,1.8,1,0.5,0.5,0.6,2.8,16,0,0,-5.4
Luke Kennard,2023,MEM,27,7,2,5,23.8,9.4,3,7.6,39.6,2.4,6.1,39.5,1,1,100,0.3,2.6,2.9,2.3,0.7,0.7,0.1,0.6,18.1,0,0,-2.9
Tyus Jones,2023,WAS,27,10,2,8,26.8,9.4,3.9,9.1,42.9,1.4,3.7,37.8,0.2,0.4,50,0.4,2.2,2.6,5.1,0.9,1,0.2,1.2,22.9,0,0,-12.8
Wendell Carter Jr.,2023,ORL,24,5,3,2,29.4,9.4,3.4,9,37.8,1,3.2,31.3,1.6,2.8,57.1,2.2,6.4,8.6,1.6,1.6,0.6,0.4,2.8,23.5,1,0,0.2
Bismack Biyombo,2023,MEM,31,5,2,3,25,9,3.4,5.2,65.4,0,0,0,2.2,3.4,64.7,4.8,4.8,9.6,1.4,0.8,0.6,1,3.2,26.6,2,0,3.4
Jeremiah Robinson-Earl,2023,NOP,23,3,0,3,21,9,3,5.7,52.9,1.7,2.7,62.5,1.3,1.3,100,1.3,3.7,5,0.7,1,0.3,0,1.7,16,0,0,-6.7
Nick Richards,2023,CHA,25,9,3,6,17.8,9,3.3,4.2,78.9,0,0,0,2.3,3.1,75,1.8,4,5.8,0.3,1.1,0.3,1.4,3,20.7,1,0,-6.3
Derrick Jones Jr.,2023,DAL,26,10,8,2,22.6,8.9,3.3,6.7,49.3,1.5,4.1,36.6,0.8,1.2,66.7,0.8,2.4,3.2,1.1,0.9,0.6,0.6,1.1,17.1,1,0,6.7
Isaiah Joe,2023,OKC,24,10,6,4,19.6,8.8,2.7,7.1,38,2.3,5.8,39.7,1.1,1.4,78.6,0.1,1.8,1.9,1.1,0.8,0.7,0.1,1.3,14.3,0,0,3
Kevin Love,2023,MIA,35,5,3,2,18.8,8.8,2.6,6.8,38.2,1.8,5,36,1.8,2,90,0.8,5.2,6,1.8,0.8,0.2,0,1.8,18.5,1,0,2.4
Malaki Branham,2023,SAS,20,10,3,7,19.6,8.8,3.6,8.2,43.9,1.1,3.1,35.5,0.5,0.5,100,0.1,1.4,1.5,2.4,0.9,0.5,0.1,1.1,15.1,0,0,-4.6
Scoot Henderson,2023,POR,19,5,2,3,28.4,8.8,3.6,10.4,34.6,0.4,4.2,9.5,1.2,1.4,85.7,0.6,1.6,2.2,4.6,4,0.6,0.2,4,16.7,0,0,-9.2
Dereck Lively II,2023,DAL,19,9,8,1,24.4,8.8,3.9,5.4,71.4,0,0.1,0,1,1.9,52.9,2.6,4.1,6.7,1,1,0.7,1.1,3.8,22.6,2,0,6
Tre Jones,2023,SAS,23,9,3,6,25.8,8.8,3.2,7.2,44.6,0.6,2.2,25,1.8,1.9,94.1,0.8,2.4,3.2,6,1.4,0.8,0.4,1.3,23.9,1,0,2.7
Danilo Gallinari,2023,WAS,35,9,2,7,14.4,8.7,3,5.7,52.9,0.9,2.4,36.4,1.8,2.3,76.2,0.6,1.9,2.4,1.7,0.4,0.3,0.1,0.8,15,0,0,1.9
Nic Claxton,2023,BKN,24,2,1,1,28.1,8.5,4,8.5,47.1,0,0,0,0.5,0.5,100,4,6,10,3,0,0,3.5,1.5,35.5,1,0,-2
Santi Aldama,2023,MEM,22,4,2,2,20,8.5,3.5,8.3,42.4,1.3,3,41.7,0.3,1,25,0.8,3.8,4.5,1.3,1.3,0.5,0.5,1.5,17.5,0,0,0.5
Xavier Tillman,2023,MEM,24,6,0,6,26.4,8.3,3.5,9.5,36.8,0.7,2.8,23.5,0.7,1.5,44.4,2.2,5.3,7.5,2.5,1.5,1.7,1,3.2,27.6,1,0,-5
Dyson Daniels,2023,NOP,20,10,4,6,26.1,8.3,3.2,6.9,46.4,1,2.9,34.5,0.9,1.6,56.3,1.2,3.9,5.1,3,1.6,1.2,0.5,1.7,22.4,1,0,-4.6
Jaime Jaquez Jr.,2023,MIA,22,10,6,4,21.9,8.3,3.4,7.1,47.9,0.8,2.9,27.6,0.7,0.8,87.5,0.9,2.3,3.2,2.2,1.2,1.3,0.3,2.1,19,0,0,1
Malik Beasley,2023,MIL,26,10,6,4,25.1,8.3,2.9,6.7,43.3,2,4.9,40.8,0.5,0.9,55.6,0.5,3.1,3.6,1.4,0.8,1,0,2.1,16.9,0,0,-6.8
Daniel Gafford,2023,WAS,25,8,2,6,23.1,8.3,3.3,4.3,76.5,0,0,0,1.8,2.8,63.6,2.4,4.6,7,1.1,1.6,0.6,2.5,3.5,26.1,1,0,-4.9
Walker Kessler,2023,UTA,22,8,2,6,24,8.3,3.5,6.4,54.9,0.3,0.8,33.3,1,1.6,61.5,3.4,4.5,7.9,0.3,1,0,2.1,2.1,23.5,2,0,-9.8
Bilal Coulibaly,2023,WAS,19,10,2,8,25.5,8.2,3,6,50,1.4,3.2,43.8,0.8,1.5,53.3,0.5,3.2,3.7,1.8,1.3,1.1,0.8,1.8,19.7,0,0,1.1
Royce O'Neale,2023,BKN,30,10,5,5,31.2,8.2,2.8,8.3,33.7,2.5,6.9,36.2,0.1,0.2,50,0.8,5.5,6.3,3.4,1.1,0.6,0.9,3.2,24.3,2,0,-5.1
Chris Paul,2023,GSW,38,11,6,5,27,8.2,3.2,8.6,36.8,0.5,3.4,16.2,1.3,1.5,87.5,0.3,3.4,3.6,7.3,1.1,1.5,0,1.5,26.7,1,0,4.5
De'Anthony Melton,2023,PHI,25,9,8,1,27.6,8.1,2.8,8.6,32.5,1.6,4.8,32.6,1,1.6,64.3,0.4,2.9,3.3,4.3,1.2,1.3,0.3,2.2,22.4,0,0,5.1
Jae Crowder,2023,MIL,33,9,5,4,26.7,8.1,2.8,5.2,53.2,1.8,3.4,51.6,0.8,1.3,58.3,0.4,3.4,3.9,1.7,0.4,0.8,0.3,1.6,18.2,0,0,-6.1
Ziaire Williams,2023,MEM,22,9,2,7,25.6,8.1,2.9,7.7,37.7,1.2,4.2,28.9,1.1,1.2,90.9,0.8,4.8,5.6,1.2,1.7,0.4,0.4,2.1,17.6,1,0,-10.1
Andrew Nembhard,2023,IND,23,10,6,4,19.2,8.1,3.5,7.2,48.6,0.8,2.7,29.6,0.3,0.4,75,0.3,1.5,1.8,4,1.6,0.8,0,2,17.1,1,0,0.9
Dario Saric,2023,GSW,29,11,6,5,20,8.1,3,7.1,42.3,1.3,3.8,33.3,0.8,1,81.8,1.9,4.9,6.8,1.7,0.8,0.4,0.5,2,20.5,1,0,1.3
Cedi Osman,2023,SAS,28,10,3,7,19.8,8,3.1,6,51.7,1.5,3.3,45.5,0.3,0.5,60,0.3,1.5,1.8,1.5,0.6,0.5,0.3,1.3,14.2,0,0,-6.4
David Roddy,2023,MEM,22,10,2,8,21.8,8,3.5,7.2,48.6,0.6,2.4,25,0.4,0.5,80,1.1,2.7,3.8,0.9,0.9,0.4,0.4,2,15.4,0,0,-3.9
Derrick Rose,2023,MEM,35,4,0,4,17.6,8,3,9.3,32.4,1.3,2.5,50,0.8,1,75,1,1,2,2.8,1.5,0.5,0.3,0.8,15.3,0,0,-5
Gary Harris,2023,ORL,29,5,3,2,17.8,8,3,5.2,57.7,1.8,3.6,50,0.2,0.6,33.3,0.8,1.4,2.2,1.4,0.8,0.2,0.4,0.4,13.7,0,0,4
Jaden Hardy,2023,DAL,21,8,6,2,11.9,8,2.6,6.1,42.9,1.1,3.3,34.6,1.6,2.1,76.5,0.3,1.5,1.8,1.3,0.5,0.1,0,0.8,11.9,0,0,0.3
Kyle Lowry,2023,MIA,37,9,5,4,31.1,8,2.6,6,42.6,2,4.6,43.9,0.9,0.9,100,1,3.6,4.6,5.1,2,1.3,0.3,2.6,24.1,1,0,1.4
Naji Marshall,2023,NOP,25,1,0,1,13.9,8,2,3,66.7,1,1,100,3,3,100,1,1,2,2,2,0,0,2,11.4,0,0,4
Doug McDermott,2023,SAS,31,10,3,7,17.4,7.9,2.7,5.3,50.9,2.2,4.2,52.4,0.3,0.4,75,0.2,1.1,1.3,1.7,0.5,0.2,0.1,1.5,12.4,0,0,-5.9
Haywood Highsmith,2023,MIA,26,6,5,1,25.4,7.8,2.7,6.5,41,1.3,4,33.3,1.2,1.5,77.8,0.7,2.2,2.8,1.5,0.7,0.8,1,2,18.3,0,0,2.2
JaVale McGee,2023,SAC,35,6,2,4,12.7,7.8,3.5,5.5,63.6,0,0.2,0,0.8,1.2,71.4,1.5,1.8,3.3,0.2,1,0.2,0.5,0.8,13.1,0,0,2.8
Cason Wallace,2023,OKC,20,10,6,4,22.5,7.8,3,4.7,63.8,1,1.9,52.6,0.8,0.8,100,0.5,1.8,2.3,1.5,0.6,0.5,0.3,1.9,14.6,0,0,1.3
Josh Green,2023,DAL,22,10,8,2,25.2,7.8,2.8,6.5,43.1,1.5,3.8,39.5,0.7,1.4,50,0.5,1.7,2.2,2.1,1,1.1,0.2,1.9,16.5,0,0,2.1
Quentin Grimes,2023,NYK,23,10,5,5,24.3,7.8,2.8,6.4,43.8,2.2,5.5,40,0,0.1,0,0.1,1.3,1.4,1.1,0.4,0.7,0,1.6,12.8,0,0,2.3
Alex Caruso,2023,CHI,29,9,3,6,23.5,7.8,2.9,4.9,59.1,1.2,2.8,44,0.8,1.2,63.6,1.4,2.4,3.9,2.4,1,1.6,0.8,2.6,22.1,1,0,2
Josh Okogie,2023,PHX,25,10,4,6,23.7,7.6,2.3,5.6,41.1,0.4,2.3,17.4,2.6,2.9,89.7,1.9,1.6,3.5,1.2,0.9,0.8,0.5,1.2,16.6,0,0,0
Josh Richardson,2023,MIA,30,7,5,2,23.7,7.6,2.9,6.7,42.6,1.1,3.4,33.3,0.7,0.9,83.3,0,2.3,2.3,2.3,1.1,0.3,0.1,2,13.9,0,0,-2.9
Kyle Anderson,2023,MIN,30,9,7,2,24.9,7.4,3.1,5.2,59.6,0.2,0.9,25,1,1.8,56.3,0.7,3.2,3.9,4.2,2,1.1,0.7,1.4,21.8,0,0,4.7
Christian Wood,2023,LAL,28,10,5,5,22.1,7.4,2.4,5.2,46.2,1.1,2.7,40.7,1.5,2.4,62.5,1,5.1,6.1,0.9,1.3,0.3,0.7,2,17.8,1,0,2.8
Landry Shamet,2023,WAS,26,6,1,5,15.9,7.3,2.8,5.8,48.6,1.5,4,37.5,0.2,0.3,50,0.2,1.2,1.3,1.2,0.5,0.7,0.2,1.8,12.7,0,0,3.2
Drew Eubanks,2023,PHX,26,10,4,6,18.6,7.3,2.9,4.6,63,0,0,0,1.5,1.9,78.9,1.6,3.5,5.1,2,1.4,0.3,1.5,2.1,20.4,0,0,-0.7
Kelly Olynyk,2023,UTA,32,10,3,7,20.4,7.3,2.7,4.5,60,0.7,1.7,41.2,1.2,1.4,85.7,1.9,3.5,5.4,3.4,1.8,1.1,0.2,3.1,21,0,0,-2
Keyonte George,2023,UTA,20,10,3,7,22.6,7.3,2.6,6.9,37.7,1.2,3.9,30.8,0.9,1.2,75,0.4,1.9,2.3,4.6,1.7,0.3,0.2,0.9,16.8,0,0,-6.7
Skylar Mays,2023,POR,26,8,3,5,16.5,7.3,3,7,42.9,0.4,2.5,15,0.9,1,87.5,0.1,1,1.1,3.9,0.9,0.8,0,1.1,15.8,2,0,-0.5
Jeff Green,2023,HOU,37,9,6,3,15.3,7.2,2.4,4,61.1,0.4,1.2,36.4,1.9,2.7,70.8,1.2,2,3.2,0.4,0.6,0.2,0.2,1.1,12.5,0,0,2.6
Donte DiVincenzo,2023,NYK,26,10,5,5,19.4,7.2,2.5,6.8,36.8,1.5,4.5,33.3,0.7,1.2,58.3,0.9,2,2.9,1.6,1.1,0.8,0.4,1.7,15.6,0,0,0.6
Trendon Watford,2023,BKN,23,5,3,2,14.9,7.2,2.8,5.2,53.8,0.4,1,40,1.2,1.2,100,1.2,3,4.2,2.4,1.2,0.8,0.2,2.2,17.6,0,0,6
Jevon Carter,2023,CHI,28,11,4,7,14.8,7.2,2.7,5.7,47.6,1.7,3.5,50,0,0.1,0,0.1,0.5,0.5,1.2,0.9,0.5,0.4,1.2,11.4,0,0,-2.2
MarJon Beauchamp,2023,MIL,23,9,5,4,17.4,7.1,2.7,5.3,50,1.2,2.8,44,0.6,0.9,62.5,0.9,1.7,2.6,1,0.8,0.2,0.1,1.7,11.9,0,0,-0.9
Jordan Goodwin,2023,PHX,25,10,4,6,18.3,7.1,2.4,7.3,32.9,1.3,3.8,34.2,1,1.3,76.9,1.1,2.8,3.9,1.9,1,1,0.4,1.2,17.8,0,0,1.2
Josh Hart,2023,NYK,28,10,5,5,28.5,7.1,2.8,7.2,38.9,1,3.4,29.4,0.5,0.7,71.4,1.1,5.4,6.5,2.5,1,0.9,0.1,2,20.7,0,0,0.1
Cam Reddish,2023,LAL,24,10,5,5,22.8,7,2.3,5.6,41.1,0.8,2.7,29.6,1.6,1.9,84.2,0.6,2.4,3,1,0.6,1.4,0.3,1.7,16.6,0,0,-4
Harry Giles III,2023,BKN,25,1,0,1,5.9,7,3,3,100,1,1,100,0,0,0,0,1,1,0,1,0,0,1,7.2,0,0,6
T.J. McConnell,2023,IND,31,6,3,3,13.9,7,2.8,4.8,58.6,0,0.2,0,1.3,1.3,100,0.5,2,2.5,3.3,0.7,1,0.2,1,17.8,0,0,0
Wesley Matthews,2023,ATL,37,1,0,1,7.5,7,2,2,100,2,2,100,1,2,50,1,1,2,0,1,0,0,3,8.4,0,0,1
Christian Braun,2023,DEN,22,10,8,2,18.9,6.9,2.5,6,41.7,0.4,1.8,22.2,1.5,2.2,68.2,1.1,3.3,4.4,2.2,0.6,0.5,0.3,1.4,17.3,0,0,1
Robert Williams III,2023,POR,26,6,2,4,19.8,6.8,2.8,4.3,65.4,0,0,0,1.2,1.5,77.8,1.8,4.5,6.3,0.8,1.2,1.2,1.2,2.8,21.5,0,0,-5
Moses Moody,2023,GSW,21,11,6,5,17.1,6.8,2.5,5.5,44.3,1.2,3.5,34.2,0.7,1,72.7,0.7,2.2,2.9,1.1,0.5,1.1,0.3,1,15.6,0,0,3.5
