PLAYER,SEASON,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,ALLSTAR
DeAndre' Bembry,2021,MIL,27,48,25,23,19.8,5.8,2.5,4.4,56.8,0.3,0.8,41.7,0.4,0.7,60,0.8,2.4,3.2,1.3,0.6,1,0.5,2.2,15.3,0,0,-0.4,0
Cassius Stanley,2021,DET,22,9,3,6,17.2,5.8,2.1,5.1,41.3,0.4,1.9,23.5,1.1,1.1,100,0.6,1.6,2.1,0.4,0.7,0.6,0.2,1.9,10.6,0,0,-1.7,0
Isaiah Jackson,2021,IND,20,20,6,14,9.6,5.8,2.3,4.2,54.2,0.2,0.4,42.9,1.1,1.7,66.7,1.2,1.6,2.8,0.4,0.6,0.6,0.8,1.9,12.9,1,0,-1.1,0
Taurean Prince,2021,MIN,28,47,25,22,15.3,5.7,2,4.5,45.5,1.1,2.7,39.1,0.6,0.8,75.7,0.4,2,2.3,0.9,0.7,0.6,0.3,1.4,11.5,0,0,-0.8,0
Trey Burke,2021,DAL,29,32,17,15,10.8,5.7,2.2,5.3,41.5,0.7,2.2,33.3,0.5,0.5,94.1,0.1,0.8,0.9,1.4,0.7,0.3,0,1,9.1,0,0,0.1,0
Matisse Thybulle,2021,PHI,25,43,27,16,26.4,5.6,2.3,4.7,49,0.7,2.4,28.6,0.4,0.5,69.6,0.5,1.7,2.3,1.2,0.7,1.8,1.1,2.3,18.1,0,0,-0.5,0
Dennis Smith Jr.,2021,POR,24,37,15,22,17.3,5.6,2.1,5.1,41.8,0.2,0.7,22.2,1.1,1.7,65.6,0.5,1.8,2.4,3.6,1.4,1.2,0.3,1.4,17,0,0,-3.7,0
Danuel House Jr.,2021,UTA,29,26,8,18,15.5,5.5,1.8,4.6,39.2,0.8,2.4,34.9,1,1.3,81.8,0.3,2.2,2.5,1.2,0.9,0.4,0.3,1,11.6,0,0,-1.1,0
Greg Monroe,2021,MIN,32,10,5,5,15,5.5,2.4,4.4,54.5,0,0,0,0.7,1.4,50,2.3,2.9,5.2,1.4,0.9,0.6,0.7,1.6,16.8,0,0,0.5,0
Nik Stauskas,2021,BOS,28,2,1,1,11.9,5.5,1.5,4,37.5,1,2,50,1.5,2,75,0.5,1,1.5,0.5,0,0,0,0.5,8.1,0,0,8,0
Xavier Moon,2021,LAC,27,6,3,3,13.9,5.5,2.3,5.7,41.2,0.5,1.7,30,0.3,0.5,66.7,0.2,1.3,1.5,1.7,0.5,0.8,0.2,0.7,12.3,0,0,-2.3,0
Dean Wade,2021,CLE,25,43,24,19,19.4,5.5,2,4.3,46.2,1.1,2.9,37.6,0.4,0.6,63,0.7,2.5,3.1,1.2,0.4,0.6,0.1,1.7,12.7,1,0,0.5,0
Aleksej Pokusevski,2021,OKC,20,42,14,28,16.6,5.5,2.3,5.9,38.6,0.7,2.6,27.3,0.2,0.4,56.3,1,3.4,4.3,1.2,1.2,0.5,0.6,1.2,14.7,1,0,-1.2,0
PJ Dozier,2021,DEN,25,18,9,9,18.9,5.4,2,5.5,36.4,0.8,2.7,31.3,0.6,0.7,76.9,0.8,2.7,3.5,1.6,0.7,0.6,0.3,1.8,14.1,0,0,-5,0
Garrett Temple,2021,NOP,36,55,21,34,19.2,5.4,1.9,5.1,37.9,1,3.2,31.6,0.5,0.7,68.3,0.5,2,2.5,1.3,0.7,0.7,0.4,1.5,13.1,0,0,-6.1,0
D.J. Augustin,2021,LAL,34,34,9,25,15,5.4,1.6,4,40.4,1.1,2.8,40.6,1,1.1,86.8,0.2,1,1.2,2.2,1.3,0.3,0,0.5,9.6,0,0,-3.5,0
Brandon Goodwin,2021,CLE,26,16,11,5,15.9,5.3,2.1,5.3,38.8,0.8,2,37.5,0.4,0.9,50,0.4,1.9,2.4,3.1,1.1,1,0,1.4,14.6,0,0,0.1,0
Keita Bates-Diop,2021,SAS,26,45,17,28,16.3,5.3,2.2,4.3,50.3,0.3,0.9,33.3,0.7,1,70.5,1,2.9,3.9,0.6,0.7,0.5,0.3,1,12.6,0,0,0.6,0
Justise Winslow,2021,POR,26,43,23,20,15.5,5.3,2.1,4.7,45.1,0.3,1.2,22,0.8,1.2,62.3,0.9,3.2,4.1,1.7,1,0.7,0.5,1.3,15.5,2,0,0.9,0
Svi Mykhailiuk,2021,TOR,25,43,23,20,15.2,5.3,1.9,4.8,40.1,0.8,2.7,30.4,0.6,0.7,84.4,0.5,1.6,2.1,0.9,0.7,0.6,0.1,1.1,10.5,0,0,-2,0
Derrick Favors,2021,OKC,30,38,15,23,16.7,5.3,2.4,4.7,51.7,0.1,0.4,12.5,0.4,0.6,60.9,1.5,3.2,4.8,0.6,0.2,0.4,0.3,1.6,13.8,1,0,-3.6,0
Luka Garza,2021,DET,23,29,3,26,11.7,5.2,1.9,4.3,44.4,0.5,1.4,34.1,0.9,1.4,64.3,1.7,1.3,3,0.6,0.6,0.3,0.1,1.7,10.3,1,0,-1.7,0
Cody Zeller,2021,POR,29,27,13,14,13.1,5.2,1.9,3.3,56.7,0,0.1,0,1.4,1.8,77.6,1.9,2.8,4.6,0.8,0.7,0.3,0.2,2.1,12.8,0,0,-1,0
Dwight Howard,2021,LAL,36,42,18,24,14.4,5.1,1.9,3,61.4,0.1,0.2,66.7,1.3,2.1,62.1,1.9,3.5,5.4,0.5,0.8,0.7,0.6,2,15.4,2,0,-0.5,0
Ish Smith,2021,WAS,33,41,19,22,14.6,5.1,2.3,5.3,42.5,0.3,0.7,40,0.3,0.5,63.2,0.3,1.3,1.6,2.9,1,0.6,0.3,1.1,13.1,0,0,-2.1,0
David Duke Jr.,2021,BKN,22,19,9,10,16.4,5.1,1.9,5.2,36.7,0.5,1.8,25.7,0.8,1,84.2,1.6,1.8,3.4,0.8,0.4,0.6,0.4,1.7,13,2,0,-0.1,0
Jose Alvarado,2021,NOP,24,31,12,19,12.8,5.1,1.9,4.5,42.6,0.6,1.8,31.6,0.6,0.9,74.1,0.3,1.2,1.5,2,0.5,1,0.2,1.3,12.9,0,0,2.4,0
David Nwaba,2021,HOU,29,38,5,33,13.8,5.1,1.9,4,46.7,0.3,1,25.6,1.1,1.5,71.9,0.9,2.7,3.7,0.8,0.5,0.6,0.5,1.3,13.5,0,0,-2.6,0
Maurice Harkless,2021,SAC,29,41,14,27,19.9,5.1,1.9,4.2,45.4,0.7,2.4,30.9,0.5,0.7,71.4,0.3,2.3,2.6,0.5,0.7,0.7,0.6,1.7,11.9,1,0,-1.8,0
Lamar Stevens,2021,CLE,24,41,28,13,14.3,5,2,4.3,47.5,0.3,1.1,29.5,0.6,1,62.5,0.7,1.5,2.2,0.6,0.5,0.5,0.2,1.4,10.2,0,0,-0.2,0
James Bouknight,2021,CHA,21,28,13,15,10.6,5,1.7,4.9,35.3,0.6,1.8,34.7,1,1.1,87.1,0.8,1,1.7,0.8,0.5,0.3,0,1,8.7,0,0,-1.6,0
Juwan Morgan,2021,BOS,25,1,0,1,27.4,5,2,3,66.7,1,2,50,0,0,0,2,2,4,1,0,0,0,3,11.3,0,0,-25,0
Khem Birch,2021,TOR,29,31,19,12,18.7,5,1.9,3.8,50.8,0,0.3,0,1.1,1.5,76.1,2.4,2.2,4.5,1.1,0.5,0.8,0.5,1.7,15.3,0,0,1.5,0
Marquese Chriss,2021,DAL,24,23,17,6,11.1,5,2.1,4.4,47.5,0.3,0.9,33.3,0.5,0.8,63.2,1,2.5,3.5,0.5,0.7,0.5,0.4,2.1,12,0,0,0.5,0
Goga Bitadze,2021,IND,22,35,12,23,11.8,4.9,1.9,4.1,44.8,0.2,1.3,17,1,1.6,60.7,1.4,1.5,2.9,0.8,0.8,0.4,0.7,1.8,11.9,1,0,-0.3,0
Joshua Primo,2021,SAS,19,30,13,17,15.9,4.9,1.7,4.7,36.9,0.8,2.5,32,0.6,0.8,76,0.6,1.1,1.7,1.4,0.9,0.4,0.5,1.2,10.7,0,0,-1.5,0
Wesley Matthews,2021,MIL,35,30,19,11,19.2,4.9,1.8,4.4,40.6,1.1,3.2,34,0.2,0.3,60,0.5,1.3,1.8,0.7,0.4,0.4,0.2,1.9,9.5,0,0,3.6,0
Saben Lee,2021,DET,23,28,6,22,14.6,4.9,1.6,4.4,37.7,0.4,1.6,27.3,1.2,1.5,76.7,0.4,2,2.4,2.3,0.9,0.9,0.4,0.9,14.1,0,0,-2.3,0
Yuta Watanabe,2021,TOR,27,25,14,11,14.6,4.9,1.7,4.2,39.6,0.8,2.4,35.6,0.7,1.2,56.7,0.6,2.3,2.9,0.6,0.6,0.3,0.5,1.3,10.9,2,0,-2.8,0
Kyle Guy,2021,MIA,24,15,11,4,11.7,4.9,1.7,4,43.3,0.9,2.3,40,0.5,0.7,70,0.1,0.7,0.9,1.1,0.8,0.5,0.1,0.8,8.4,0,0,-2.2,0
Tre Jones,2021,SAS,22,46,21,25,13.5,4.8,2,4,50,0.1,0.4,15,0.8,0.9,87.8,0.4,1.5,1.8,2.4,0.5,0.4,0,0.9,11.5,0,0,-1,0
Udoka Azubuike,2021,UTA,22,15,10,5,11.9,4.8,2.2,2.9,75,0,0,0,0.4,0.7,54.5,1,3.1,4.1,0,0.8,0.1,0.7,1.5,11.4,1,0,1.1,0
Rajon Rondo,2021,CLE,36,31,14,17,18.3,4.8,1.7,4.8,36.5,0.7,2.3,32.4,0.5,0.7,81,0.4,2.6,3,4.1,1.8,0.8,0.2,1.5,15.8,1,0,-1.6,0
John Konchar,2021,MEM,26,52,35,17,18.6,4.8,1.8,3.6,49.5,0.8,1.8,42.1,0.4,0.7,59.5,1.1,3.3,4.4,1.4,0.4,0.7,0.3,1.3,14.7,2,0,1,0
Boban Marjanovic,2021,DAL,33,17,10,7,5.8,4.8,2.1,3.4,63.2,0.1,0.2,33.3,0.5,0.9,50,0.4,1.4,1.8,0.1,0.6,0,0.1,1.2,6.8,0,0,1.7,0
Romeo Langford,2021,SAS,22,44,22,22,16.6,4.7,1.8,4.2,42.9,0.7,1.9,34.9,0.5,0.8,58.8,0.7,1.7,2.4,0.4,0.4,0.5,0.4,1,10.3,0,0,-0.2,0
Payton Pritchard,2021,BOS,24,49,29,20,12.3,4.7,1.7,4.5,37.8,1,2.7,36.1,0.3,0.3,100,0.3,1.3,1.6,1.7,0.7,0.2,0.1,0.9,9.3,0,0,-0.8,0
Cameron McGriff,2021,POR,24,3,0,3,15.3,4.7,1.7,4.7,35.7,0.7,2,33.3,0.7,0.7,100,2,3,5,1,0,0,0.3,2.3,13.2,0,0,2.7,0
Drew Eubanks,2021,POR,25,49,17,32,12.1,4.7,1.7,3.2,52.8,0,0.2,12.5,1.2,1.6,74.7,1.3,2.7,4,1,0.9,0.3,0.6,1.2,12.7,1,0,-1.5,0
Jock Landale,2021,SAS,26,36,15,21,10.2,4.6,1.8,3.6,48.8,0.6,1.6,35.1,0.6,0.7,84,1.1,1.1,2.2,0.9,0.6,0.2,0.3,0.9,9.6,1,0,-0.1,0
Trevelin Queen,2021,HOU,25,8,1,7,8.6,4.6,1.6,3.6,44.8,1,2.8,36.4,0.4,0.4,100,0.6,1.1,1.8,0.4,0.9,0.6,0,0.8,8.3,0,0,0.4,0
Troy Brown Jr.,2021,CHI,22,48,32,16,18.1,4.6,1.8,4.4,40,0.7,2.1,33,0.4,0.5,76,0.7,2.8,3.5,1.1,0.5,0.6,0.1,1.1,12.1,0,0,-1.3,0
Juan Toscano-Anderson,2021,GSW,29,56,42,14,14.5,4.5,1.8,3.6,49,0.4,1.3,30.1,0.6,1,59.6,0.5,2.2,2.6,1.9,1.1,0.7,0.3,1.6,12.3,0,0,0.6,0
Rodney McGruder,2021,DET,30,33,5,28,13.5,4.5,1.7,3.7,45.1,0.9,2.2,39.7,0.3,0.4,71.4,0.5,1.4,1.9,0.8,0.4,0.4,0.1,1,9.1,0,0,-0.1,0
Trendon Watford,2021,POR,21,33,14,19,12.6,4.5,1.9,3.2,59,0,0.3,9.1,0.7,1.1,68.6,0.8,2.4,3.2,1.1,0.7,0.3,0.5,1.7,11.5,0,0,-3.3,0
Xavier Tillman,2021,MEM,23,39,25,14,13.1,4.5,1.8,3.9,45.1,0.2,0.9,20,0.8,1.2,64.6,1.2,1.8,3,1,0.7,1.1,0.4,1.3,13.2,0,0,-1,0
Louis King,2021,SAC,23,10,2,8,10.4,4.5,1.5,4.7,31.9,0.8,2.7,29.6,0.7,1,70,0,1.2,1.2,0.9,0,0.2,0.1,1.4,8.2,0,0,-2.9,0
Jabari Parker,2021,BOS,27,12,4,8,9.4,4.4,1.5,3.2,47.4,0.7,1.3,50,0.8,0.8,100,0.4,1.9,2.3,0.5,0.7,0.3,0.1,1.1,8.6,0,0,-0.6,0
Lindell Wigginton,2021,MIL,24,10,6,4,10.5,4.4,1.4,2.6,53.8,0.7,1.3,53.8,0.9,1.3,69.2,0.1,1.4,1.5,0.7,0.6,0.3,0.1,0.8,7.9,0,0,-1.4,0
Josh Green,2021,DAL,21,44,27,17,14.4,4.4,1.8,3.5,50.3,0.3,0.9,30.8,0.6,0.8,71.4,0.7,1.5,2.2,1.3,0.5,0.7,0.2,1.7,11.1,0,0,1.8,0
Malcolm Hill,2021,CHI,26,16,7,9,12.2,4.4,1.4,3,47.9,0.8,2.1,39.4,0.7,0.9,78.6,0.7,1.3,2,0.3,0.1,0.4,0.2,1.3,8.7,0,0,-1.3,0
Delon Wright,2021,ATL,30,53,27,26,18.2,4.3,1.6,3.6,44.2,0.5,1.5,37.7,0.6,0.8,82.5,0.7,2.2,2.9,2.5,0.6,1,0.2,0.8,14.6,0,0,0.4,0
Reggie Perry,2021,POR,22,3,0,3,16.9,4.3,1.7,3.3,50,0.3,0.7,50,0.7,0.7,100,0.7,2,2.7,0.7,0.3,0.3,0,3,9.2,0,0,-6,0
CJ Elleby,2021,POR,22,35,15,20,15.1,4.3,1.6,4.1,39.2,0.5,1.8,29,0.6,0.7,80.8,0.9,2.1,2.9,1.1,0.5,0.5,0.2,1.6,11.1,0,0,-2.1,0
Mamadi Diakite,2021,OKC,25,13,4,9,14.4,4.3,1.9,3.6,53.2,0,0.4,0,0.5,0.8,54.5,1.3,3.2,4.5,0.2,0.5,0.4,0.7,2.5,12.7,0,0,-1.1,0
Theo Maledon,2021,OKC,21,31,9,22,14.2,4.3,1.3,4.2,31.8,0.5,2.1,23.1,1.2,1.4,85.7,0.3,1.4,1.6,1.2,0.9,0.5,0.2,1.1,8.9,0,0,-4.2,0
Vlatko Cancar,2021,DEN,25,14,7,7,10.9,4.3,1.6,2.8,56.4,0.5,0.9,58.3,0.6,0.9,75,0.4,1.2,1.6,0.9,0.6,0.1,0.2,0.9,8.2,0,0,1,0
Frank Ntilikina,2021,DAL,23,47,27,20,12.5,4.3,1.5,4,37.9,0.7,2.1,34,0.5,0.5,95.8,0.1,1.2,1.3,1.1,0.6,0.5,0.1,1.1,9,0,0,1.1,0
Matt Thomas,2021,CHI,27,35,22,13,12.8,4.3,1.4,3.6,39.7,0.9,2.5,38.4,0.5,0.6,80,0.1,1.3,1.4,0.6,0.2,0.2,0.1,0.5,7.5,0,0,0.7,0
DeAndre Jordan,2021,PHI,33,31,15,16,12.9,4.2,1.9,2.8,67,0,0,0,0.4,0.8,48,1.6,3.9,5.5,0.4,0.6,0.3,0.8,1.6,14.1,0,0,-3,0
Sam Merrill,2021,MEM,26,6,2,4,9.6,4.2,1.3,4,33.3,1.2,3.8,30.4,0.3,0.7,50,0.2,1,1.2,0.7,0.3,0,0,0.5,6.2,0,0,-1.5,0
James Ennis III,2021,DEN,31,7,3,4,7.9,4.1,1.6,3.4,45.8,0.4,1.1,37.5,0.6,0.7,80,0.7,1,1.7,0.4,0.3,0.3,0.3,0.7,8.3,0,0,0,0
Timothe Luwawu-Cabarrot,2021,ATL,27,36,19,17,12.6,4.1,1.4,3.6,38.5,0.9,2.4,36.8,0.5,0.6,85,0.3,1.1,1.4,0.7,0.4,0.4,0.1,1.3,7.9,0,0,-1.3,0
Andre Iguodala,2021,GSW,38,26,17,9,19.9,4.1,1.5,3.9,39.2,0.5,2.3,23,0.5,0.6,81.3,0.7,2.6,3.3,3.8,0.9,0.8,0.8,1,17.9,0,0,4.6,0
Markus Howard,2021,DEN,23,22,12,10,6.1,4.1,1.2,3.3,37,1,2.4,43.4,0.6,0.6,92.9,0,0.3,0.3,0.3,0.3,0.3,0,0.5,5.5,0,0,0.6,0
Davon Reed,2021,DEN,27,29,18,11,13.8,4,1.6,3.3,47.4,0.8,1.8,43.4,0.1,0.2,80,0.3,2.2,2.5,1,0.3,0.6,0.1,1.4,10.3,0,0,0.6,0
Brandon Williams,2021,POR,22,2,0,2,5.9,4,1,1.5,66.7,0,0,0,2,3.5,57.1,0,1,1,1,0,0,0,0,6.7,0,0,10,0
Micah Potter,2021,DET,24,3,2,1,10.3,4,1.7,3.7,45.5,0,0.7,0,0.7,0.7,100,1.3,1.7,3,0,0.3,0.3,0.3,1.3,9.3,0,0,-13.3,0
Scotty Hopson,2021,OKC,32,1,0,1,17.7,4,2,4,50,0,1,0,0,0,0,0,1,1,1,2,0,0,1,4.7,0,0,-6,0
Trevor Ariza,2021,LAL,37,20,8,12,19.3,4,1.3,3.7,35.1,1,3.1,32.8,0.4,0.7,50,0.3,3.1,3.4,1.2,0.5,0.5,0.2,0.9,11.3,0,0,-1.8,0
Taj Gibson,2021,NYK,37,39,17,22,18.3,3.9,1.5,2.9,52.6,0.2,0.6,36.4,0.6,0.8,75.8,1.6,2.8,4.5,0.6,0.6,0.4,0.8,2.8,13.4,0,0,0.9,0
Trey Murphy III,2021,NOP,22,41,18,23,12.7,3.9,1.2,3.6,33.8,0.9,2.6,33.6,0.6,0.7,85.7,0.7,1.5,2.1,0.5,0.3,0.3,0.1,1,8.2,0,0,-0.7,0
Isaiah Joe,2021,PHI,22,41,24,17,12.2,3.8,1.2,3.5,35.2,0.9,2.7,33,0.5,0.5,95.2,0.1,1,1.1,0.7,0.4,0.3,0,0.9,6.8,0,0,0,0
Jarrett Culver,2021,MEM,23,27,20,7,9.2,3.8,1.5,3.6,41.7,0.4,1.2,30.3,0.4,0.9,52.2,0.4,1.1,1.4,1,0.5,0.6,0.1,1.1,8.6,0,0,1,0
Daishen Nix,2021,HOU,20,8,1,7,8.4,3.8,1.6,2.5,65,0.4,0.9,42.9,0.1,0.4,33.3,0.1,1.1,1.3,1.3,1.1,0.9,0,0.4,8.6,0,0,-0.5,0
Naji Marshall,2021,NOP,24,32,10,22,9.6,3.8,1.3,3.4,37,0.3,1.5,21.3,0.9,1.1,85.7,0.5,1.6,2.1,0.8,0.8,0.4,0.1,0.9,8.2,0,0,-1,0
Tim Frazier,2021,CLE,31,10,1,9,20,3.7,1.3,4.3,30.2,0.6,1.7,35.3,0.5,0.9,55.6,0.5,1.4,1.9,3.3,1.3,0.3,0.1,2.4,10.8,0,0,-7,0
Cheick Diallo,2021,DET,25,3,0,3,10.2,3.7,1,2.7,37.5,0,0,0,1.7,2,83.3,1.3,2.7,4,0,0.3,0.3,0,2,9.1,0,0,-11,0
Haywood Highsmith,2021,MIA,25,6,4,2,11.9,3.7,1.3,3.5,38.1,1,2.5,40,0,0.3,0,0.5,1,1.5,0,0.2,0,0.2,1,5.8,0,0,-6.7,0
KZ Okpala,2021,MIA,23,21,14,7,11.6,3.7,1.4,3.3,43.5,0.4,1.2,34.6,0.4,0.5,72.7,0.5,1.4,2,0.7,0.2,0.2,0.3,1.2,8.3,0,0,0.3,0
Mychal Mulder,2021,MIA,28,15,2,13,13,3.7,1.3,4.5,29.9,0.9,3.1,28.3,0.1,0.1,100,0.1,1.3,1.4,0.2,0.5,0.3,0.1,0.8,6.1,0,0,-3.6,0
Sterling Brown,2021,DAL,27,38,23,15,13.8,3.7,1.3,3.4,39.8,0.7,2.1,34.2,0.3,0.3,90.9,0.6,2.8,3.4,0.8,0.6,0.3,0.1,1.2,9.7,2,0,1,0
Enes Freedom,2021,BOS,30,35,20,15,11.8,3.7,1.5,2.8,52.6,0.1,0.1,40,0.7,0.8,85.7,1.7,2.8,4.6,0.2,0.6,0.1,0.4,1.2,10.5,2,0,2,0
Kent Bazemore,2021,LAL,32,32,16,16,14.4,3.7,1.3,3.8,33.1,0.8,2.1,35.8,0.4,0.5,76.5,0.3,1.4,1.7,0.9,0.3,0.7,0.2,1.8,9.3,0,0,-2.8,0
Paul Millsap,2021,PHI,37,26,17,9,11.2,3.7,1.4,3.7,38.9,0.3,1.2,25.8,0.5,0.7,68.4,1.3,2.4,3.7,1,0.5,0.2,0.4,2,11,0,0,-0.5,0
Dalano Banton,2021,TOR,22,47,27,20,11.8,3.6,1.5,3.6,41.3,0.2,0.9,25.6,0.4,0.7,61.8,0.7,1.6,2.2,1.6,1,0.5,0.2,1.2,9.7,0,0,0.4,0
Brad Wanamaker,2021,WAS,32,23,10,13,13.9,3.6,1.2,3.3,36.4,0.2,0.7,23.5,1,1.1,92,0.3,1.4,1.7,2.4,1,0.3,0.3,2,9.9,0,0,-1.9,0
Devontae Cacok,2021,SAS,25,10,4,6,8,3.6,1.6,2.3,69.6,0,0,0,0.4,0.7,57.1,0.5,2.5,3,0.2,0.2,0.5,0.7,1.1,10.9,0,0,0.4,0
Killian Tillie,2021,MEM,24,32,23,9,13.3,3.6,1.3,3.6,36.2,0.8,2.4,33.8,0.2,0.3,62.5,0.6,1.1,1.7,0.6,0.3,0.7,0.4,1.7,9.7,0,0,1.8,0
Jevon Carter,2021,MIL,26,46,25,21,12,3.6,1.3,3.8,33.3,0.9,2.8,33.1,0.2,0.2,70,0.2,1.3,1.5,1,0.6,0.3,0.2,1,7.8,0,0,-0.7,0
Anthony Gill,2021,WAS,29,26,9,17,8.7,3.6,1.3,2,62.3,0.3,0.4,63.6,0.8,1.1,71.4,0.7,0.8,1.5,0.5,0.4,0.2,0.2,1.5,7,0,0,1.9,0
Gorgui Dieng,2021,ATL,32,37,18,19,9,3.6,1.2,2.6,47.9,0.6,1.5,42.6,0.5,0.6,70.8,0.9,2.2,3,0.8,0.5,0.3,0.4,1.2,9.7,0,0,-1,0
Aaron Nesmith,2021,BOS,22,41,24,17,10.8,3.5,1.3,3.5,37.8,0.5,2.2,23.6,0.4,0.5,84.2,0.3,1.4,1.7,0.3,0.6,0.3,0.1,1.3,6.6,0,0,0.4,0
Keon Johnson,2021,POR,20,15,6,9,9,3.5,1.1,3.4,33.3,0.2,0.7,27.3,1.1,1.4,76.2,0.4,1,1.4,0.9,0.5,0.5,0.1,1.4,7.8,0,0,-0.5,0
Jared Harper,2021,NOP,24,2,1,1,5.2,3.5,1.5,3.5,42.9,0.5,1,50,0,0,0,0.5,0,0.5,1.5,0.5,0,0.5,1,7.4,0,0,0,0
Justin Anderson,2021,IND,28,6,1,5,12.8,3.5,1,3.2,31.6,0.5,2.5,20,1,1.2,85.7,0.3,1.3,1.7,1.5,0.5,0.3,0.2,1.5,8.8,0,0,7.2,0
Alfonzo McKinnie,2021,CHI,29,17,8,9,12.1,3.5,1.4,3.6,39.3,0.5,1.6,33.3,0.1,0.5,25,0.8,1.2,1.9,0.3,0.4,0.1,0.2,1.5,6.7,0,0,-3.2,0
Admiral Schofield,2021,ORL,25,24,5,19,11.3,3.5,1.3,2.8,47.1,0.6,1.7,34.1,0.2,0.3,71.4,0.4,1.7,2,0.7,0.5,0.1,0.2,1.3,7.2,0,0,-1.6,0
Paul Watson,2021,OKC,27,9,2,7,17.4,3.4,1.3,3.9,34.3,0.7,2.9,23.1,0.1,0.2,50,0.3,2.7,3,0.9,0.4,0.3,0.3,1.1,9.9,0,0,-6.2,0
Jared Butler,2021,UTA,21,28,23,5,7.6,3.4,1.3,3.1,40.9,0.6,1.7,36.2,0.3,0.4,58.3,0.1,0.7,0.8,1.2,0.8,0.3,0.3,1,7.2,0,0,-1.4,0
Nick Richards,2021,CHA,24,41,20,21,8.4,3.4,1.3,2,67.9,0,0,0,0.7,1,73.2,0.7,1.2,2,0.3,0.5,0.2,0.5,1.2,7.8,0,0,-2.3,0
Nerlens Noel,2021,NYK,28,25,10,15,22.5,3.4,1.3,2.4,53.3,0,0.1,0,0.8,1.2,70,1.9,3.7,5.6,0.9,0.8,1.2,1.2,2.7,18.1,0,0,-2.7,0
Skylar Mays,2021,ATL,24,23,12,11,9,3.4,1.3,2.7,50.8,0.3,1.1,32,0.3,0.4,88.9,0.2,0.9,1.1,0.7,0.4,0.3,0,0.3,6.2,1,0,-1.5,0
Tyler Cook,2021,CHI,24,19,12,7,10.3,3.4,1.2,1.9,61.1,0,0,0,1.1,1.6,64.5,0.8,1.9,2.7,0.2,0.4,0.2,0.2,1.4,7.8,0,0,-1.6,0
Elfrid Payton,2021,PHX,28,38,31,7,11.7,3.3,1.5,3.7,39.4,0.1,0.4,28.6,0.3,0.7,39.3,0.5,1.5,2,2.2,1,0.5,0.1,0.9,9.8,0,0,0,0
Santi Aldama,2021,MEM,21,27,17,10,10.2,3.3,1.4,3.6,38.1,0.1,1.4,10.3,0.4,0.7,60,0.9,1.5,2.4,0.5,0.3,0.1,0.3,1,7.6,1,0,0.7,0
Tremont Waters,2021,WAS,24,3,0,3,16.8,3.3,1.3,4.7,28.6,0.7,3,22.2,0,0,0,0,1.3,1.3,2.3,1.3,1.7,0,1.3,12.1,0,0,-6.3,0
Greg Brown III,2021,POR,20,28,12,16,7.9,3.3,1.3,2.9,43.2,0.1,0.8,19,0.7,1.1,63.3,0.7,1.3,2,0.3,0.4,0.3,0.4,1.1,7.8,0,0,-2,0
Trent Forrest,2021,UTA,24,46,30,16,12.2,3.2,1.3,2.4,53.2,0.1,0.4,22.2,0.6,0.8,80.6,0.4,1.3,1.7,1.5,0.8,0.5,0.1,0.7,8.5,0,0,0.9,0
Moses Moody,2021,GSW,20,34,26,8,9.5,3.2,1.1,3,37.6,0.6,1.8,30.6,0.4,0.5,82.4,0.2,1.1,1.4,0.3,0.2,0.1,0.2,0.7,5.9,0,0,-1.1,0
Jahmi'us Ramsey,2021,SAC,21,19,2,17,7,3.2,1.3,3.1,41.4,0.3,0.9,27.8,0.4,0.7,50,0.2,0.5,0.7,0.4,0.3,0.1,0.1,0.5,4.6,0,0,-1.1,0
Rodney Hood,2021,LAC,29,41,24,17,14.5,3.1,1.1,3.2,34.8,0.6,2,30,0.3,0.3,92.9,0.3,1.3,1.7,0.8,0.2,0.3,0.1,0.7,7.3,0,0,-0.5,0
Nathan Knight,2021,MIN,24,28,15,13,6.9,3.1,1,2,48.2,0.1,0.3,25,1.1,1.6,71.1,0.8,1.3,2.1,0.5,0.4,0.1,0.3,1,7.2,1,0,-0.1,0
Justin Robinson,2021,DET,24,25,13,12,12.1,3.1,1.1,3.7,30.1,0.7,2.4,29.5,0.2,0.3,50,0.2,0.7,0.8,1.3,0.7,0.4,0,1.1,6.6,0,0,-4.9,0
Moses Brown,2021,CLE,22,26,14,12,6.5,3.1,1,1.9,54,0,0,0,1,1.7,62.8,0.6,1.7,2.3,0,0.5,0.1,0.3,1.1,6.8,0,0,0.1,0
Tony Bradley,2021,CHI,24,45,26,19,11.1,3.1,1.4,2.4,57.9,0,0,0,0.3,0.5,66.7,1.3,2.4,3.7,0.5,0.6,0.2,0.7,1.2,10.4,0,0,1.5,0
Jordan McLaughlin,2021,MIN,26,41,22,19,12.5,3,1.1,3,37.7,0.2,1.1,19.1,0.6,0.8,74.2,0.2,1.1,1.3,2.8,0.5,0.7,0.1,0.6,10.5,1,0,-0.8,0
Charles Bassey,2021,PHI,21,23,11,12,7.3,3,1.3,2,63.8,0,0.2,0,0.4,0.5,75,1,1.7,2.7,0.3,0.3,0.2,0.7,1.4,9.2,1,0,-1.5,0
