PLAYER,SEASON,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,ALLSTAR
Daniel Theis,2021,BOS,30,28,5,23,22.1,8.1,3.1,6.5,48.1,0.9,2.9,30,1,1.4,67.5,1.1,3.9,5.1,0.8,1.1,0.5,0.8,2.4,17.9,2,0,-7.2,0
Naz Reid,2021,MIN,22,56,29,27,15.9,8.1,2.9,6.3,46.9,0.8,2.1,35,1.5,2,73.9,1.4,2.5,3.9,0.9,1,0.4,1,2.1,17.4,2,0,-1.8,0
Tyus Jones,2021,MEM,26,53,37,16,20.7,8.1,3.2,7,46.1,0.9,2.5,35.8,0.7,0.8,86.7,0.2,2.2,2.5,4.2,0.7,0.9,0,0.4,19.5,0,0,2.6,0
Cory Joseph,2021,DET,30,47,11,36,24.4,8.1,2.8,6.2,45.2,1,2.4,43.2,1.4,1.7,85,0.4,2.1,2.5,3.9,1.4,0.7,0.3,2.2,18.3,0,0,-3.4,0
Thomas Bryant,2021,WAS,24,16,5,11,17.3,8.1,3.1,6.1,51.5,0.6,1.8,31,1.3,1.5,83.3,1.4,2.6,4,0.9,0.6,0.4,0.6,1.7,16.7,0,0,-4.5,0
Brook Lopez,2021,MIL,34,1,1,0,28.2,8,3,9,33.3,2,4,50,0,0,0,2,3,5,0,0,1,3,3,26,0,0,0,0
D.J. Wilson,2021,TOR,26,3,1,2,15.9,8,2.7,3.7,72.7,0,0.7,0,2.7,3.3,80,0.3,4.3,4.7,1.3,0.7,1.7,0.3,1.7,20.9,0,0,-5,0
Goran Dragic,2021,BKN,36,5,1,4,17.9,8,2.6,6.8,38.2,0.8,2.8,28.6,2,2,100,0.4,2.4,2.8,1.8,0.2,1,0.2,1.6,17.5,0,0,-4.4,0
Malik Newman,2021,CLE,25,1,0,1,7.7,8,3,5,60,0,1,0,2,2,100,0,1,1,1,1,0,0,0,9.7,0,0,1,0
Mike Muscala,2021,OKC,30,43,15,28,13.8,8,2.6,5.8,45.6,1.6,3.8,42.9,1.1,1.3,84.2,0.5,2.5,3,0.5,0.3,0.4,0.6,1.3,15.1,0,0,0.5,0
Cody Martin,2021,CHA,26,49,27,22,27.2,8,2.9,6.5,45.4,1,2.4,41,1.1,1.7,67.1,1.2,3,4.2,2.6,0.9,1.3,0.5,1.7,21.5,0,0,0.4,0
